publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location,C,D,S
2022-04-14,i0WCQppckX8,"Der Mensch fühlt sich frei, ist aber schon längst ein Vollroboter",0,0,0,0,0,0,0,0,0,0
2022-04-14,7P9GV7Xu3EA,"Die Illusion der Vergangenheit, das ""Spiel"" in der Hölle, Informationskrieg",0,0,0,0,0,0,0,0,0,0
2022-04-14,BBiLzgGy1u4,Die Seele - absolut berechnend - sie trägt die Absicht der absoluten Kontrolle,0,0,0,0,0,0,0,0,0,0
2022-04-14,c7EEcj1iZ04,kampfkunst   Bruce  Lee   die mittelbare Frequenz,0,0,0,0,0,0,0,0,0,0
2022-04-11,D2O1ViBvcJw,"Wer bist du, wenn du nicht Gedanken, Gefühle, Emotionen bist?",0,0,0,0,0,0,0,0,0,0
2022-04-11,maZ_fo5FPdU,Das Wissen zeigt sich nicht in Äußerlichkeiten,0,0,0,0,0,0,0,0,0,0
2022-04-11,KTxY1D9br4o,Ohne Kompromisse   Den Weg der Wahrheit gehen,0,0,0,0,0,0,0,0,0,0
2022-04-10,RSAdWs7CwLo,Wie komme ich aus der Matrix - Die Dringlichkeit der eigenen Rettung steigt exorbitant jeden Tag,0,0,0,0,0,0,0,0,0,0
2022-04-10,knh7t8r6tHo,Die Erschaffenskraft des Menschen wird zur Erschaffung dieser perversen Relität benutzt,0,0,0,0,0,0,0,0,0,0
2022-04-10,hXtgjr5clew,Wie überleben wir die Endzeit?,0,0,0,0,0,0,0,0,0,0
2022-04-07,WE4Kx_jm2rk,Das Programm Schlaf    Nichts in dieser Welt hat einen Wert da alles auf SandZeitLüge gebaut ist!,0,0,0,0,0,0,0,0,0,0
2022-04-07,ce83zz0sSww,"ALLES was du in dieser Welt jemals erfahren hast, kannst du dir direkt in die Haare schmieren",0,0,0,0,0,0,0,0,0,0
2022-04-07,0lOvk9Mr28Q,WELT OHNE MENSCHEN   Menschen werden mithilfe von Intelligenz durch Dämonen ersetzt #KONTROLLE,0,0,0,0,0,0,0,0,0,0
2022-04-07,gCHwSj0q5cY,0492 Die Erde wurde technologisch okkupiert! Seele = Technologie = Verführung = DIE SPRACHE!,0,0,0,0,0,0,0,0,0,0
2022-04-03,v9c93SWa2bI,"Was nützt es dir die Dunkelheit erkannt zu haben, wenn du dich weiterhin vom Licht belügen lässt",0,0,0,0,0,0,0,0,0,0
2022-04-03,1-U38FA7iAk,Robotisierte Menschheit   Welt der Programme   COMPUTER WERDEN MIT SPRACHE PROGRAMMIERT   DU AUCH!,0,0,0,0,0,0,0,0,0,0
2022-04-03,_z-mOQjz5cs,"ATOMBOMBE RADIOAKTIV Das was RADIOAKTIV ist, was dich belügt, ist das RADIO und nicht nur das",0,0,0,0,0,0,0,0,0,0
2022-04-01,8akdrZxgcQQ,Jeder Mensch sieht mit den Augen der Drachen   Intelligenz IST der Teufel! Du hast ABGEDANKT!,0,0,0,0,0,0,0,0,0,0
2022-03-30,R9FqCpK2ILA,"Endzeit   Ein ganzes Volk lässt sich ablenken, verführen, unterhalten, verarschen, belustigen,",0,0,0,0,0,0,0,0,0,0
2022-03-30,tAf6IHa9r64,"Der Mensch gefangen in einem geistigen Gefängnis   Dämonen, Götter, Menschen DENKEN, du WEIßT",0,0,0,0,0,0,0,0,0,0
2022-03-29,MU2fTmEywqs,Ableinkung auf allen Ebenen - ohne Wissen keine Rettung,0,0,0,0,0,0,0,0,0,0
2022-03-28,r6QBzUKGeLg,Intelligenz ist TECHNOLOGIE! Die Maschinen =Seelen der Matrix haben die Kontrolle über DICH!,0,0,0,0,0,0,0,0,0,0
2022-03-16,0HSbpuqV44Q,"DAS WAHRE CORONA KI ZOMBIEVIRUS INTELLIGENZ REDET,  DIE ZUSCHAUER IM RAUM STERBEN!",0,0,0,0,0,0,0,0,0,0
2022-03-15,de425zeNgSA,Was nützt dir ein freier Wille wenn die Seele bzw  der Seelenplan diesen ersetzt hat,0,0,0,0,0,0,0,0,0,0
2022-03-15,Un_PF3BlCKE,"Intelligenz verhindert seine eigene Dummheit zu erkennen! Der Weg zum Wissen, keine Sprache",0,0,0,0,0,0,0,0,0,0
2022-03-15,eHz0WKUvzHg,"Jeder GUTE MENSCH ist TROTZDEM BÖSE, da er das Wissen über die Wahrheit über sich VERGESSEN hat!!",0,0,0,0,0,0,0,0,0,0
2022-03-11,3nPS9HwplvU,bzgl Eil Mitteilung,0,0,0,0,0,0,0,0,0,0
2022-03-11,f_-Kc26Nd34,"0481 ANUNNAKI   Verführung, Versklavung der Menschheit durch Ablenkung   Menschen gehorchen Dämonen",0,0,0,0,0,0,0,0,0,0
2022-03-10,VrL0JlgFNv4,"Wer in den Tagen der Endzeit, der Informations Sintflut nicht weiß wer #Morpheus ist hat ein Problem",0,0,0,0,0,0,0,0,0,0
2022-03-10,t5A_3CzjDKU,"Die Seele hält dich ab die Wahrheit sehen zu können  Die Seele lebt, nicht du! Du schläfst! Wach auf",0,0,0,0,0,0,0,0,0,0
2022-03-10,lJ7VmpIHA50,"Wer nicht auf dem Weg zu Thomas Veit ist, ist auf dem Weg zum Tod   Die Sinne SIND die Täuschung!",0,0,0,0,0,0,0,0,0,0
2022-03-09,KkYDjzN-pws,Verschollen im Bermudadreieck   Im Paradies gibt es kein GeSCHLECHT   Sex=Reden=Virus=Gift=Lüge,0,0,0,0,0,0,0,0,0,0
2022-03-09,f3Gd3IPvvGw,"Sie leben, wir schlafen   Intelligenz lebt, Wissen schläft   die Seele lebt, du schläfst",0,0,0,0,0,0,0,0,0,0
2022-03-08,hVrzwYUQFmM,"Du hast dein Leben verspielt! Dei Wahrheit tut weh, aber die Lüge bringt dich um",0,0,0,0,0,0,0,0,0,0
2022-03-08,RQ2EefVM8gU,Anunnaki   Gibt es sie wirklich,0,0,0,0,0,0,0,0,0,0
2022-03-07,iXV7LCaoIUU,Glaubst du Jesus kommt in diese Welt der Lüge und sagt dir etwas was die Seele hören will,0,0,0,0,0,0,0,0,0,0
2022-03-07,qH7V4X_rX8g,Schöpferwissen TV Kanal wurde gehackt! Julia  mit neuer E Mail Adresse erreichbar,0,0,0,0,0,0,0,0,0,0
2022-03-04,n66kcUPVaWg,Was ist dir dein ewiges Leben wert?,0,0,0,0,0,0,0,0,0,0
2022-03-04,PM8WFAKKn6U,"Ob Wissen besteht das weiß keiner, der Ausgang ist ungewiss",0,0,0,0,0,0,0,0,0,0
2022-03-04,39SpG9z0jWs,"Liebe, Sex und andere Ablenkungen -  Wo ist das Wissen?",0,0,0,0,0,0,0,0,0,0
