publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location
2022-03-14,kVbRq4eZxBw,Code Wort:Covid 19,0,0,0,0,0,0,0
2022-02-07,VusckwKSW4Y,"BRAKING NEWS!!! PART I : Schokierende Wahrheit: Thomas berichtet erstmalig über das ""Droneproject""",0,0,0,0,0,0,0
2022-01-15,hMDS0Otec3A,Die heisse Phase,0,0,0,0,0,0,0
2022-01-13,_dLyf5zy-Nc,DAS GRÖSSTE VERBRECHEN AN DER MENSCHEIT - wir decken es auf!,0,0,0,0,0,0,0
2022-01-12,oQ6ML1ioNo0,CARS GO BACK TO THE OWNERS,0,0,0,0,0,0,0
2022-01-07,wvjCGJ_VPCQ,FYI,0,0,0,0,0,0,0
2021-12-19,vKS_OPPKPOA,PAPA smash our car,0,0,0,0,0,0,0
2021-12-19,9rW1gghUJ5k,AKTE X,0,0,0,0,0,0,0
2021-12-19,_rrfGBSXEi0,SECRET SOCIETY,0,0,0,0,0,0,0
2021-12-07,ETRF7Re3zLk,Russian Healing Methods - Thailand - Chiang Mai,0,0,0,0,0,0,0
2021-12-07,GD32vclg_us,HOW BIG IS YOUR POWER?,0,0,0,0,0,0,0
2021-12-07,26rr-ZSrLYQ,WHAT FOR?,0,0,0,0,0,0,0
2021-11-23,_5mGHw0s4Sk,Illusory World,0,0,0,0,0,0,0
2021-11-20,Zj5MeFGHLmo,Unbelievable Truth,0,0,0,0,0,0,0
2021-11-15,ijQ1mVQXaUU,Meuchelmord,0,0,0,0,0,0,0
2021-11-14,QfrTa20bv2c,CAPTURES OF HUMAN SLAVERY,0,0,0,0,0,0,0
2021-11-03,3V0jE0Yd8WE,MUST WATCH!! TRAVEL TO THAILAND,0,0,0,0,0,0,0
2021-10-30,rkyCW35DkOs,"WARNING!DIPLOMATIC STATUS [Diplomatic Act, 1961]",0,0,0,0,0,0,0
2021-10-14,ygou3LsUrZs,Total Recall,0,0,0,0,0,0,0
2021-10-07,XqSDrcnK-a4,CRIME on US,0,0,0,0,0,0,0
2021-10-03,NloTktphHzE,humans alive,0,0,0,0,0,0,0
2021-09-27,9ToHJbl8od4,Sattahip Private Pool Villa,0,0,0,0,0,0,0
2021-09-18,vRYrMUVldfw,Is Thailand in War ?,0,0,0,0,0,0,0
2021-07-09,3-ORZbSjfn4,truthful us UNCUT,0,0,0,0,0,0,0
2021-07-09,TmPO1-brF_M,Der Teufel hat viele Helfer - The Devils assistant,0,0,0,0,0,0,0
2021-07-04,RGPrnZrM8o4,Maintaining the illusion : She sent her Soldier for hire to demonstrate power and make us fear.,0,0,0,0,0,0,0
2021-07-02,PoVOb1bSUJQ,"Traces of Truth: Documentary Live Life Story, Sattahip Thailand",0,0,0,0,0,0,0
2021-07-02,nuYUDdg-3j0,"""We came in Peace"", Major of Municipality Gorbitz @ Sattahip, Thailand; THOMAS VEIT",0,0,0,0,0,0,0
2021-06-29,Hxhe_syjErM,TOP  SECRET : Professional Fire Bomb - These guys want to kill me!,0,0,0,0,0,0,0
2021-06-28,kmCZsh-7G6c,How Facebook and Social Media rules your world,0,0,0,0,0,0,0
2021-06-24,1jsnIxER-zA,"PORSCHE CAYENNE: a truelife story about ENVY, JALOUSY & HATE",0,0,0,0,0,0,0
2021-06-22,R5qCZbQ8XHU,"Home, Sweet Home ..",0,0,0,0,0,0,0
2021-06-18,KCfhhCyLFos,BECOME THE MASTER OF DISASTER,0,0,0,0,0,0,0
2021-06-18,Dq273CIT0bA,TRASH DEPOS,0,0,0,0,0,0,0
2021-06-18,StvjtyuU6bg,THEY DO NOT KNOW WHAT THEY DO,0,0,0,0,0,0,0
2021-06-18,6TB8NMnO6iU,SOCIETY,0,0,0,0,0,0,0
2021-06-18,hiC4K7xg9gU,F*** THE NEW WORLD,0,0,0,0,0,0,0
2021-06-18,eKikwenrO_s,PORSCHE CAYENNE - HE SHOULD BE DEATH,0,0,0,0,0,0,0
2021-06-18,wp2ibZwJtPc,Hell is HOT,0,0,0,0,0,0,0
2021-06-18,tIBjnHVfoGs,GO!,0,0,0,0,0,0,0
2021-04-12,hlsEhuSJGxg,heute xPress,0,0,0,0,0,0,0
2021-03-24,t9BMVCjT_P4,moments of march 21: julia to dejan and helmut is nowhere to find . .,0,0,0,0,0,0,0
2021-03-24,j31WQcBLU-Y,Das brennende Automobil - Dokumentationen aus dem Leben,0,0,0,0,0,0,0
2021-03-24,h58XAjCu_yU,Recycle Yourself,0,0,0,0,0,0,0
2021-03-21,AZ3yQ8lv1Vo,m a f i a : INSIDERinfo,0,0,0,0,0,0,0
2021-03-15,HHJeYAYtP4E,Der Preis des Wissens,0,0,0,0,0,0,0
2021-03-09,KuXB5U5cDfY,grenzgang : Dualitäten,0,0,0,0,0,0,0
2021-03-04,_N4xIqVfDJk,grenzgang : crossing borders within,0,0,0,0,0,0,0
2021-02-24,pn5lSQepisI,Endzeit Baby,0,0,0,0,0,0,0
2021-02-23,YdjEl-tTW9A,"One for All - All for One : Einer für Alle, Alle für Einen - Schöpferwissen TVhautnah O2/2021",0,0,0,0,0,0,0
