title,views,description,date_published,duration,tags
Code Wort:Covid 19,940,Sind wir Teil eines MEGA Komplotts?!?!,2022-03-14,24:36,
"BRAKING NEWS!!! PART I : Schokierende Wahrheit: Thomas berichtet erstmalig über das ""Droneproject""",1275,"Die neue Fernstudiumsreihe mit nie dagewesen Dokumentationen und Informationen über DAS worüber niemand spricht - denn jeder der sprechen könnte, ist bereits...",2022-02-07,,
Die heisse Phase,1501,*please add English Subtitle!!! (download Video+Translate+add Text to Video+ safe Video+sent to Julia) thank you!!,2022-01-15,23:40,
DAS GRÖSSTE VERBRECHEN AN DER MENSCHEIT - wir decken es auf!,2083,"An die , die ad hoc Zeit haben: Verschriftlichen und mir zukommen lassen. Ins Englische Bringen und mir zukommen lassen. Danke.",2022-01-13,44:58,
CARS GO BACK TO THE OWNERS,765,,2022-01-12,12:53,
FYI,1043,,2022-01-07,11:14,
PAPA smash our car,780,,2021-12-19,,
AKTE X,613,,2021-12-19,2:38,
SECRET SOCIETY,369,,2021-12-19,,
Russian Healing Methods - Thailand - Chiang Mai,694,,2021-12-07,,
HOW BIG IS YOUR POWER?,850,,2021-12-07,,
WHAT FOR?,353,,2021-12-07,2:37,
Illusory World,880,,2021-11-23,,
Unbelievable Truth,853,"""Das was nicht im Bewusstsein eines Menschen ist,existiert für ihn nicht"" (Quelle unbekannt)",2021-11-20,12:56,
Meuchelmord,794,assassination - sie wollen uns sterben sehen,2021-11-15,,
CAPTURES OF HUMAN SLAVERY,619,DEUTSCH +ENGsubtitlerecorded in November 2021,2021-11-14,,
MUST WATCH!! TRAVEL TO THAILAND,944,,2021-11-03,41:02,
"WARNING!DIPLOMATIC STATUS [Diplomatic Act, 1961]",558,,2021-10-30,,
Total Recall,1034,rec_20211004-051350**ENG GER podcast series;Thomas a.d.F Veit,2021-10-14,31:20,
CRIME on US,1126,#FilmoraGo,2021-10-07,5:10,
humans alive,873,,2021-10-03,22:05,
Sattahip Private Pool Villa,1077,KHUN THIDA *uncut,2021-09-27,18:51,
Is Thailand in War ?,979,,2021-09-18,,
truthful us UNCUT,2581,wir wahrhaftig.,2021-07-09,43:02,
Der Teufel hat viele Helfer - The Devils assistant,1636,,2021-07-09,,
Maintaining the illusion : She sent her Soldier for hire to demonstrate power and make us fear.,610,Das Aufrechterhalten der Illusion: Sie sendet ihre Söldner um Macht zu demonstrieren und um uns Angst zu machen.,2021-07-04,,
"Traces of Truth: Documentary Live Life Story, Sattahip Thailand",548,Bong and Thida betray themselves:How? Both lie.,2021-07-02,,
"""We came in Peace"", Major of Municipality Gorbitz @ Sattahip, Thailand; THOMAS VEIT",640,,2021-07-02,,
TOP  SECRET : Professional Fire Bomb - These guys want to kill me!,754,Please take notice of the following: We show what no one shows: Life threaten gifts from Secret Service. Thomas share the past 5 years confidential and top s...,2021-06-29,,
How Facebook and Social Media rules your world,765,wake up - until it is to late,2021-06-28,,
