publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location
2017-06-24,zoU6OK2lRi8,wenn du wirklich wissen willst,0,0,0,0,0,0,0
2017-06-16,TvNRRdyB200,"Der Kampf an der Front   Erkennt, Versteht und Handelt",0,0,0,0,0,0,0
2017-06-12,Q_ihQBKHjdU,Er musste den Weg gehen um zu verstehen  Thomas aus dem Hause Veit,0,0,0,0,0,0,0
2017-06-12,w_QJZ4ieiEE,Statement über das Wirken von Thomas a F Veit   Die eigene Entprogrammierung mit dem Fernstudium,0,0,0,0,0,0,0
2017-06-06,gnCLm271hlE,Thomas im Einsatz   Fernstudium   Ein Erfolgsbeispiel   David,0,0,0,0,0,0,0
2017-06-01,3EvwyQNsBJM,Exit aus der Matrix   Thomas aus dem Hause Veit,0,0,0,0,0,0,0
2017-06-01,KXLi8JJ-r6Q,"Der Weg der Entprogrammierung  Erkennen, Verstehen, HANDELN",0,0,0,0,0,0,0
2017-05-28,-vVEZR7LJCU,Fernstudium in der Ferne - Erfahrungsbericht Spot Thailand,0,0,0,0,0,0,0
2017-05-23,_LsaPslIIsA,Handeln im Strukturierten Prinzip der Liebe   Sponsoring Fussballmannschaft Afrika,0,0,0,0,0,0,0
2017-05-23,KgrXu3hxvLU,Der Weg des Kriegers für eine Ehrenwerte Gesellschaft Teil 2,0,0,0,0,0,0,0
2017-05-23,IwTJjTjVsI8,Der Weg des Kriegers für eine Ehrenwerte Gesellschaft,0,0,0,0,0,0,0
