publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location,C,D,S
2022-01-01,WvZpwcKGzyU,lat. corona = Zuschauerkreis ; Zuschauer = Annehmen von Programmen ; Hinschauer = Entprogrammierung,0,0,0,0,0,0,0,0,0,0
2022-01-01,GudIhdK27cM,"#2022 22°Halo-Lichteffekt - Der Schein trügt, NUR DAS WISSEN schützt! lat. Corona = Zuschauerkreis",0,0,0,0,0,0,0,0,0,0
2021-09-11,fgeUtZQJ-SU,Geistheiler Sananda VERFÜHRT MENSCHEN und hat die Aufgabe den Platz von Thomas Veit einzunehmen,0,0,0,0,0,0,0,0,0,0
2021-03-29,duqjWZxRL6M,TRANSPORTER - DAS WAHRE CORONA-/KI-/ZOMBIEVIRUS: INTELLIGENZ REDET DIE ZUSCHAUER IM RAUM STERBEN!,0,0,0,0,0,0,0,0,0,0
2021-02-28,HYATyXUIa9Y,FIGHT CLUB - Du willst dein Leben verändern? Hier bist du richtig - Hausaufgabe für Weltraumaffen,0,0,0,0,0,0,0,0,0,0
2021-02-05,YTQ3PwWJ0XE,"Blackout ist die Übernahme der Dämonen - Zusammenhang Endzeit, KI, Blackout, Zombies, Plan des Bösen",0,0,0,0,0,0,0,0,0,0
2021-02-05,OLaeH1K1_RM,DÄMONEN BEHERRSCHEN DIE WELT IN DER DU LEBST! NEUES ZEITALTER -DIE EWIGE HÖLLE ERWARTET DIE MENSCHEN,0,0,0,0,0,0,0,0,0,0
2021-02-04,X5tQ_8KRXs8,"Endzeit - Kampf GUT gegen BÖSE - UNA BELLA COMPANIA, die letzte Bastion der Menschheit",0,0,0,0,0,0,0,0,0,0
2021-02-04,FzUonnCsIHs,"Transporter des strukturierten Prinzips der Liebe, für die Befreiung der Menschen von den Dämonen!",0,0,0,0,0,0,0,0,0,0
2020-10-25,jh2n92MsmOY,2020: V wie Vendetta ? Nein ! V wie VEIT! 100% Unbestimmt ! Hast du Angst vorm schwarzen Mann ?,0,0,0,0,0,0,0,0,0,0
2020-10-23,d1wxZrMIiqs,Was ist die Seele? Der wahre Feind der Welt den keiner sieht! Du lässt dir dein ewiges Leben stehlen,0,0,0,0,0,0,0,0,0,0
2020-09-08,65QnrWWQGsw,Drogen sind nicht die Lösung - Wut und Zorn in WAHRHAFTIGKEIT ohne Emotionen entfesseln deine Kraft!,0,0,0,0,0,0,0,0,0,0
2020-07-25,XGYKNscVcbg,Dein Weg ins Wissen: Nicht DENKEN! WISSEN! Sag kein Wort! An ihren Taten werdet ihr sie erkennen!,0,0,0,0,0,0,0,0,0,0
2020-07-19,aKZYQYN2-PM,Dein Weg ins Wissen: Nimm keine Informationen an! Du bist ein programmierter Roboter der reagiert!,0,0,0,0,0,0,0,0,0,0
2020-07-15,avK6FvHbfZI,Dein Weg ins Wissen: Nicht Aufgeben ! Erinnere dich an das Wissen,0,0,0,0,0,0,0,0,0,0
2020-07-02,SDieN5wIH6I,"VEIT CLUB - Nicht von dieser Welt - Keiner will die Wahrheit hören, weil sie wehtut !",0,0,0,0,0,0,0,0,0,0
2020-06-26,onEhjmHOnYw,Botschaft an Wissen Wollende - Einer gegen alle -wo sind die Krieger der Endzeit? Es geht um alles!,0,0,0,0,0,0,0,0,0,0
