Source,Target,Type,Id,Label,Weight
0,2,Undirected,25002,,1779
0,1,Undirected,25003,,1818
12,3,Undirected,25004,,1467
13,5,Undirected,25007,,937
0,6,Undirected,25008,,1483
24,2,Undirected,25009,,1009
25,0,Undirected,25013,,1137
0,7,Undirected,25016,,1037
232,9,Undirected,25017,,629
12,0,Undirected,25018,,996
101,1,Undirected,25019,,685
489,10,Undirected,25020,,581
312,13,Undirected,25023,,605
0,15,Undirected,25025,,738
0,11,Undirected,25026,,1089
392,16,Undirected,25028,,565
47,1,Undirected,25029,,688
27,0,Undirected,25031,,927
137,17,Undirected,25032,,549
312,5,Undirected,25034,,554
0,21,Undirected,25038,,826
0,22,Undirected,25039,,688
303,23,Undirected,25040,,497
8,0,Undirected,25041,,867
0,24,Undirected,25042,,739
28,26,Undirected,25044,,478
4,0,Undirected,25048,,701
2,1,Undirected,25050,,746
28,0,Undirected,25051,,820
117,30,Undirected,25054,,545
18,0,Undirected,25056,,634
20,0,Undirected,25058,,705
1,8,Undirected,25059,,711
7,1,Undirected,25060,,788
0,31,Undirected,25065,,651
24,1,Undirected,25066,,664
442,32,Undirected,25067,,436
29,1,Undirected,25068,,532
12,27,Undirected,25069,,555
1,6,Undirected,25070,,707
0,29,Undirected,25071,,543
432,13,Undirected,25072,,397
349,0,Undirected,25073,,434
2,4,Undirected,25074,,477
54,20,Undirected,25076,,444
7,2,Undirected,25077,,630
770,34,Undirected,25079,,365
31,2,Undirected,25080,,543
392,35,Undirected,25081,,361
27,2,Undirected,25082,,550
2,12,Undirected,25083,,569
1,37,Undirected,25086,,366
432,5,Undirected,25087,,375
92,0,Undirected,25088,,469
0,38,Undirected,25089,,495
27,1,Undirected,25091,,575
14,0,Undirected,25092,,624
57,39,Undirected,25093,,316
1,21,Undirected,25094,,578
54,40,Undirected,25095,,371
25,1,Undirected,25097,,604
3,0,Undirected,25099,,413
143,28,Undirected,25102,,373
48,41,Undirected,25104,,414
0,42,Undirected,25105,,411
54,0,Undirected,25106,,551
1,43,Undirected,25107,,370
1,36,Undirected,25108,,516
1,12,Undirected,25110,,550
6,25,Undirected,25112,,464
137,45,Undirected,25113,,316
144,46,Undirected,25114,,318
56,0,Undirected,25115,,511
11,1,Undirected,25120,,490
15,1,Undirected,25121,,478
256,46,Undirected,25123,,296
101,37,Undirected,25124,,298
0,47,Undirected,25125,,469
59,45,Undirected,25128,,264
92,2,Undirected,25134,,400
195,30,Undirected,25135,,302
520,51,Undirected,25136,,307
0,52,Undirected,25137,,450
144,45,Undirected,25140,,277
130,55,Undirected,25145,,251
2,6,Undirected,25146,,485
88,57,Undirected,25148,,300
0,58,Undirected,25149,,434
144,59,Undirected,25150,,265
1,18,Undirected,25151,,395
5,2,Undirected,25152,,424
65,0,Undirected,25153,,469
20,6,Undirected,25154,,408
344,60,Undirected,25155,,269
117,4,Undirected,25156,,305
25,2,Undirected,25157,,418
27,3,Undirected,25158,,293
5,0,Undirected,25161,,454
0,61,Undirected,25162,,457
11,2,Undirected,25163,,431
125,8,Undirected,25164,,320
74,0,Undirected,25165,,433
7,11,Undirected,25167,,413
2,8,Undirected,25168,,451
648,62,Undirected,25170,,266
725,18,Undirected,25171,,254
1,20,Undirected,25172,,398
5,28,Undirected,25174,,356
14,1,Undirected,25179,,403
2,28,Undirected,25182,,400
1,4,Undirected,25183,,427
137,20,Undirected,25186,,276
2,67,Undirected,25187,,269
32,0,Undirected,25188,,387
1,28,Undirected,25189,,380
12,7,Undirected,25190,,375
12,25,Undirected,25191,,386
24,27,Undirected,25192,,339
48,68,Undirected,25193,,276
279,69,Undirected,25194,,257
1,50,Undirected,25198,,370
102,70,Undirected,25199,,270
0,36,Undirected,25201,,411
88,39,Undirected,25202,,263
403,7,Undirected,25203,,238
213,71,Undirected,25207,,295
48,55,Undirected,25208,,248
46,0,Undirected,25209,,310
36,72,Undirected,25210,,375
298,73,Undirected,25211,,226
44,75,Undirected,25213,,284
395,76,Undirected,25214,,227
401,77,Undirected,25215,,200
80,8,Undirected,25216,,250
7,20,Undirected,25219,,365
0,78,Undirected,25221,,324
50,2,Undirected,25223,,316
1,79,Undirected,25224,,256
174,80,Undirected,25225,,238
49,0,Undirected,25226,,322
484,81,Undirected,25227,,220
28,8,Undirected,25228,,342
85,0,Undirected,25229,,376
65,25,Undirected,25230,,366
86,0,Undirected,25231,,373
7,21,Undirected,25232,,315
584,82,Undirected,25233,,233
40,0,Undirected,25234,,345
2,20,Undirected,25236,,314
8,27,Undirected,25238,,371
24,22,Undirected,25239,,285
74,12,Undirected,25240,,293
6,7,Undirected,25242,,345
21,25,Undirected,25243,,314
4,6,Undirected,25244,,335
7,28,Undirected,25245,,312
6,27,Undirected,25251,,331
1,86,Undirected,25254,,350
90,0,Undirected,25258,,338
13,28,Undirected,25260,,247
61,52,Undirected,25261,,242
7,8,Undirected,25263,,343
812,12,Undirected,25267,,176
25,54,Undirected,25269,,329
29,28,Undirected,25270,,243
8,12,Undirected,25271,,317
129,6,Undirected,25274,,227
7,15,Undirected,25276,,252
27,25,Undirected,25280,,270
14,11,Undirected,25282,,303
2,18,Undirected,25287,,290
4,12,Undirected,25288,,310
24,93,Undirected,25290,,231
