Id,Label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,giantcomponent
0,wissen,3,0.867634,0.924765,138406.573333,0,0
1,menschen,4,0.734459,0.822797,47625.420226,0,0
2,darum,4,0.683571,0.771421,24950.212394,0,0
3,liebe,4,0.512862,0.541536,98.397816,2,0
4,verstehen,4,0.586038,0.650383,3690.423275,1,0
5,projekt,4,0.529022,0.569749,1909.473311,5,0
6,sinne,4,0.675371,0.762539,23694.841878,0,0
7,prinzip,4,0.655929,0.740944,20205.83994,0,0
8,mail,4,0.624266,0.703326,9961.997,1,0
9,geben,4,0.503684,0.526385,422.784887,3,0
10,techniken,4,0.526403,0.56348,1369.676557,4,0
11,warum,3,0.65728,0.742076,18452.527834,1,0
12,grabovoi,4,0.660455,0.74582,19685.440374,2,0
13,gehen,4,0.499478,0.522901,43.177859,5,0
14,lang,4,0.566272,0.622867,3958.991417,0,0
15,tun,4,0.557043,0.608063,5065.583874,0,0
16,stellen,4,0.478261,0.491728,0.934341,8,0
17,glauben,4,0.480422,0.495037,76.186143,2,0
18,mensch,3,0.55254,0.603448,2366.625356,0,0
19,prozent,4,0.5104,0.537879,289.803877,1,0
20,begreifen,4,0.576159,0.637147,7565.694331,0,0
21,bewusstsein,3,0.636303,0.718391,14515.529984,1,0
22,mails,4,0.533742,0.575845,561.660136,0,0
23,wahrheit,4,0.493299,0.511059,60.058521,4,0
24,tv,4,0.597751,0.667799,4865.556289,0,0
25,sehen,4,0.658637,0.746169,19672.525543,0,0
26,willkomm,4,0.496112,0.51402,26.004851,1,0
27,welt,4,0.638,0.719871,11725.902346,1,0
28,einfach,4,0.605313,0.679293,8141.472704,1,0
29,can,4,0.580704,0.646029,5960.063685,0,0
30,zeit,4,0.51507,0.545367,209.924996,1,0
31,eigen,4,0.554461,0.605974,1665.640483,0,0
32,müssen,4,0.517577,0.551985,935.837848,0,0
33,angst,3,0.564935,0.622605,5203.312084,1,0
34,leben,4,0.490266,0.506183,738.125655,3,0
35,draussen,4,0.471661,0.483716,0,8,0
36,entwicklung,4,0.58,0.645333,6179.476649,1,0
37,kommen,4,0.484067,0.499739,197.267183,4,0
38,menschheit,4,0.508232,0.534918,166.744998,0,0
39,seminar,5,0.432054,0.453622,60.154124,4,0
40,heraus,4,0.540068,0.585423,2519.638729,1,0
41,affen,4,0.506886,0.531261,525.256142,8,0
42,matrix,4,0.503949,0.526385,41.67136,0,0
43,harmonisch,4,0.487271,0.502351,25.760632,0,0
44,natürlich,4,0.500261,0.523772,525.431898,0,0
45,herzlich,4,0.504215,0.527081,270.825885,2,0
46,helfen,4,0.525824,0.560867,2015.925228,0,0
47,körper,4,0.511765,0.542407,334.960764,0,0
48,schreiben,4,0.528729,0.566266,1898.81035,8,0
49,rolle,4,0.525247,0.56139,1451.686102,5,0
