Id,Label,Color
0,menschen,not_selected
1,wissen,not_selected
2,verstehen,not_selected
3,darum,not_selected
4,warum,not_selected
5,liebe,not_selected
6,geben,selected
7,you,not_selected
8,mensch,selected
9,projekt,not_selected
10,tun,not_selected
11,sehen,not_selected
12,gehen,not_selected
13,glauben,not_selected
14,mail,not_selected
15,wahrheit,selected
16,the,not_selected
17,matrix,not_selected
18,kommen,not_selected
19,natürlich,not_selected
20,welt,not_selected
21,begreifen,not_selected
22,angst,not_selected
23,lang,not_selected
24,müssen,not_selected
25,einfach,not_selected
26,stellen,not_selected
27,eigen,not_selected
28,leben,selected
29,a,not_selected
30,neu,not_selected
31,erkennen,not_selected
32,tv,not_selected
33,thomas,not_selected
34,draussen,not_selected
35,zeit,not_selected
36,heraus,not_selected
37,helfen,not_selected
38,schreiben,not_selected
39,lassen,not_selected
40,seele,not_selected
41,seminar,not_selected
42,entwicklung,not_selected
43,gut,not_selected
44,buch,not_selected
45,lieb,not_selected
46,bewusstsein,not_selected
47,menschheit,not_selected
48,bringen,not_selected
49,ganz,not_selected
50,wer,not_selected
51,and,not_selected
52,stehen,not_selected
53,ähm,not_selected
54,wahrhaft,not_selected
55,programme,not_selected
56,programm,not_selected
57,geld,not_selected
58,to,not_selected
59,genau,not_selected
60,treffen,not_selected
61,nehmen,not_selected
62,lesen,not_selected
63,drei,not_selected
64,julia,not_selected
65,hallo,not_selected
66,thema,not_selected
67,lüge,not_selected
68,heuen,not_selected
69,nix,not_selected
70,jahren,not_selected
71,information,not_selected
72,handeln,not_selected
73,is,not_selected
74,gross,not_selected
75,nie,not_selected
76,eigentlich,not_selected
77,nein,not_selected
78,morgen,not_selected
79,gedanke,not_selected
80,sinne,not_selected
81,realität,not_selected
82,körper,selected
83,niemand,not_selected
84,führen,not_selected
85,lernen,not_selected
86,wichtig,not_selected
87,dinge,not_selected
88,freund,not_selected
89,zwei,not_selected
90,sprache,not_selected
91,halten,not_selected
92,wirklich,not_selected
93,denen,not_selected
94,davonen,not_selected
95,denken,not_selected
96,frage,not_selected
97,prinzip,not_selected
98,schöpfer,not_selected
99,tag,not_selected
100,kennen,not_selected
101,beispiel,not_selected
102,b,not_selected
103,gibt,not_selected
104,licht,not_selected
105,gleich,not_selected
106,gerade,not_selected
107,bedeuten,not_selected
108,eins,not_selected
109,erkenntnisse,not_selected
110,i,not_selected
111,zeigen,not_selected
112,finden,not_selected
113,lage,not_selected
114,geistig,not_selected
115,los,not_selected
116,vier,not_selected
117,sollen,not_selected
118,sogenannt,not_selected
119,egal,not_selected
120,allein,not_selected
121,immern,not_selected
122,programmierung,not_selected
123,ewig,not_selected
124,deutschland,not_selected
125,bekommen,not_selected
126,spiel,not_selected
127,lügen,not_selected
128,raum,not_selected
129,nochmal,not_selected
130,klein,not_selected
131,kraft,not_selected
132,fünf,not_selected
133,wesen,not_selected
134,kinder,not_selected
135,deswegen,not_selected
136,brauchen,not_selected
137,mögen,not_selected
138,klar,not_selected
139,gar,not_selected
140,versuchen,not_selected
141,m,not_selected
142,passiert,not_selected
143,erklären,not_selected
144,dabeien,not_selected
145,rettung,not_selected
146,dämonen,not_selected
147,wort,not_selected
148,gerne,not_selected
149,laufen,not_selected
150,jahre,not_selected
151,okay,not_selected
152,eu,not_selected
153,fragen,not_selected
154,schauen,not_selected
155,teil,not_selected
156,dafür,not_selected
157,nämlich,not_selected
158,möglichkeit,not_selected
