publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location,C,D,S
2022-04-11,hzU8Ov_OiYs,Maria Magdalena,0,0,0,0,0,0,0,0,0,0
2022-04-11,bp6PQv41b5o,Thomas Veit IST Vidar aus der germanischen Mythologie! JETZT liegt es an DIR ihn zu erkennen #WISSEN,0,0,0,0,0,0,0,0,0,0
2022-04-11,yeLrBC2ZU7c,ALLEIN THOMAS VEIT hat DAS WISSEN wie die DREIBEINIGEN HERRSCHER aufgehalten werden können...,0,0,0,0,0,0,0,0,0,0
2022-04-08,y3fGxuvs6MU,Was nützt es eine Maske zu tragen wenn du nicht weißt das Covid-19 =KI über das Wort übertragen wird,0,0,0,0,0,0,0,0,0,0
2022-04-06,_mGKBEc8RKY,Willst du DIE Rote Pille? DIE ÜBERWINDUNG DES TODES!! Wissen über die wahre Liebe - #RedPillsAreGood,0,0,0,0,0,0,0,0,0,0
2022-04-04,4yTauuDhbGk,"In einer Welt der Intelligenz, der Polarität bedeutet Frieden zu finden die ewige Versklavung!",0,0,0,0,0,0,0,0,0,0
2022-04-04,NluYIAtqSGw,DIE WAHRHEIT ist UNGLAUBLICH: JEDER Mensch BELÜGT DICH außer THOMAS VEIT!!,0,0,0,0,0,0,0,0,0,0
2022-04-03,5MSYsRU8nf4,"Was nützt es dir die Dunkelheit erkannt zu haben, wenn du dich vom Licht weiterhin belügen lässt?",0,0,0,0,0,0,0,0,0,0
2022-04-03,ZWcvzvBnDkI,#9 Du wurdest GETAGGT! JEDES WORT das du kennst hat eine andere Bedeutung als das was es dir sagt..,0,0,0,0,0,0,0,0,0,0
2022-04-03,EbfVERNM_ok,"ATOMBOMBE? RADIOAKTIV? Das was RADIOAKTIV ist, was dich belügt, ist das RADIO und nicht nur das...",0,0,0,0,0,0,0,0,0,0
2022-04-03,nvz6B-3oCkE,Robotisierte Menschheit - Welt der Programme - COMPUTER WERDEN MIT SPRACHE PROGRAMMIERT.. DU AUCH!,0,0,0,0,0,0,0,0,0,0
2022-04-02,CBZidh0PNr0,JÖRMUNGANDR RISING! THE FATE OF THE UNIVERSE IS IN YOUR HAND IF YU RECOGNIZE THE KNOWLEDGE FROM HULK,0,0,0,0,0,0,0,0,0,0
2022-04-02,22DSzDzJU_M,"TAT(W)ORT lat. pupilla=Mündel, Unmündig! lat. CORONA=ZuschauerKREIS! Das Wort vergiftet die Menschen",0,0,0,0,0,0,0,0,0,0
2022-04-01,OqKGNLiK5sg,Jeder Mensch sieht mit den Augen der Drachen - Intelligenz IST der Teufel! Du hast ABGEDANKT!,0,0,0,0,0,0,0,0,0,0
2022-04-01,xI6jmJoMPJU,Das Wort ist ein Serienkiller,0,0,0,0,0,0,0,0,0,0
2022-04-01,NN5Y-mpALxk,M = DreiFALTIGkeit = teuflisch = Sex = lat. MATRIX = Gebärmutter!!  Liebe hat nichts mit Sex zu tun!,0,0,0,0,0,0,0,0,0,0
2022-03-23,PuMMNHAu_-Q,"NULLFALTIGKEIT! Die EINZIGSTE ""ATOMmacht"" in dieser Welt ist UBC! Befreiung aus der ZELLE! #MORPHEUS",0,0,0,0,0,0,0,0,0,0
2022-03-23,T4mdfuma_n0,Du(=Agent Smith) hst nicht nur einen KNICK(=FALTE) in der Optik! Morpheus ist da! Wer will Wahrheit?,0,0,0,0,0,0,0,0,0,0
2022-03-13,B8hwnSRvlL0,NICHTS in dieser Welt hat einen wahren Wert - ALLES in was der Mensch investiert ist in seinen Tod!,0,0,0,0,0,0,0,0,0,0
2022-03-10,SlxNk71sLKU,"Wer nicht auf dem Weg zu Thomas Veit ist, ist auf dem Weg zum Tod - Die Sinne SIND die Täuschung!",0,0,0,0,0,0,0,0,0,0
2022-03-09,rjFBkcb56JM,Verschollen im Bermudadreieck - Im Paradies gibt es kein GeSCHLECHT - Sex=Reden=Virus=Gift=Lüge,0,0,0,0,0,0,0,0,0,0
2022-03-09,NUhhhK9Zz5w,"Sie leben, wir schlafen - Intelligenz lebt, Wissen schläft - die Seele lebt, du schläfst",0,0,0,0,0,0,0,0,0,0
